,SBER,PLZL,POLY,GAZP,LKOH,TCSG,MOEX,TATN,ROSN,SBERP,FLOT,SELG,MTLRP,NVTK,VKCO,POSI,YNDX,MTLR,MAGN,CBOM,GMKN,CHMF,PHOR,BSPB,MGNT
71,133.98,8496.0,344.8,201.87,3980.0,1987.0,85.75,409.9,356.5,126.99,38.2,39.58,136.2,1002.8,323.8,868.8,1688.8,117.0,32.28,4.995,16800,822.6,7940,69.94,4448.0
72,133.9,8673.0,327.5,199.43,3920.0,1932.5,86.1,408.1,355.9,127.18,38.15,38.94,134.35,997.8,312.2,867.2,1669.0,116.27,31.825,4.925,16898,819.4,7950,69.24,4430.0
73,129.35,8567.0,319.7,193.0,3846.0,1909.0,84.39,399.9,342.9,123.2,37.02,36.42,130.75,967.8,311.6,864.8,1642.0,114.95,30.78,4.823,16254,808.6,7736,68.8,4369.5
74,129.95,8388.5,322.9,194.0,3767.0,1935.0,84.59,392.4,335.45,123.5,36.5,35.95,131.25,949.0,327.0,875.2,1719.6,114.87,29.97,4.742,16020,785.0,7388,91.85,4328.0
75,128.0,8342.0,341.2,188.1,3710.0,1876.0,83.46,389.0,324.75,121.84,35.74,36.92,133.45,946.8,325.8,877.0,1705.8,115.0,29.18,4.615,15480,770.0,7370,86.7,4285.5
76,129.44,8375.0,330.0,188.9,3710.0,1845.0,82.75,408.8,332.5,123.5,35.73,36.74,133.65,954.4,326.0,873.0,1748.0,115.89,28.0,4.612,15626,749.6,7690,87.36,4380.0
77,130.64,8494.0,289.0,189.5,3777.0,1786.5,83.5,385.3,334.55,124.31,36.5,36.03,135.0,964.2,319.0,886.8,1733.8,114.17,27.895,4.693,15898,741.0,7600,84.7,4425.0
78,128.11,8344.0,254.0,189.6,3654.5,1891.0,82.92,382.7,327.2,122.95,35.76,35.29,134.4,952.0,321.2,924.8,1804.0,111.62,27.12,4.582,15300,722.6,7395,84.5,4394.5
79,129.2,8353.0,258.0,195.8,3664.0,1969.5,82.9,381.4,333.75,122.3,36.68,34.95,139.0,938.8,360.2,899.2,1978.8,113.99,26.97,4.669,15050,721.6,7274,86.5,4370.5
80,126.83,8168.0,277.8,195.45,3577.5,2038.5,83.29,380.0,332.9,120.47,36.18,35.91,144.2,927.8,410.0,939.8,2170.0,122.21,26.175,4.528,15084,699.0,7246,88.0,4333.5
81,129.1,7920.0,283.7,192.95,3688.0,2022.5,84.82,388.5,341.45,123.0,36.0,37.93,148.15,957.0,424.0,915.0,2150.0,124.98,26.585,4.6,14980,689.6,7348,88.09,4345.0
82,132.0,7843.0,275.0,194.65,3709.5,1987.0,85.45,384.3,342.2,125.95,37.46,39.8,152.8,965.0,420.0,935.0,2109.0,125.99,26.905,4.699,14862,698.6,7423,88.2,4390.0
83,133.9,7998.5,272.0,194.49,3825.0,1993.0,86.79,390.4,347.0,127.19,36.5,41.79,151.0,1008.0,419.2,975.0,2078.0,124.5,27.46,4.744,15876,723.4,7318,87.49,4520.0
84,134.79,8279.0,282.2,197.5,3878.0,1959.0,87.82,402.6,352.5,127.75,36.17,45.97,151.4,1061.8,413.0,1000.0,1973.0,127.0,28.0,4.832,16270,753.4,7405,87.0,4638.0
85,133.49,8373.5,281.5,198.79,3885.0,1906.5,87.08,398.7,351.65,126.69,36.2,45.7,160.5,1053.8,390.4,1009.8,1948.0,128.0,27.665,4.722,15866,751.6,7500,87.48,4782.0
86,132.75,8644.0,275.5,196.8,3880.0,1886.0,86.9,409.0,354.55,126.0,36.2,43.4,162.3,1055.8,402.4,1070.0,1986.2,123.99,26.715,4.905,16230,735.8,7510,86.99,4889.0
